,Date,Timestamp,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC,Hashnote USYC
,,,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA,RWA
,,,canto,ethereum,noble,near,Total,canto,canto,ethereum,ethereum,noble,near,Total,Total,canto,canto,ethereum,ethereum,noble,near,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,USDC,USYC,USDC,USYC,USYC,USYC,USDC,USYC,USDC,USYC,USDC,USYC,USYC,USYC,USDC,USYC
,07/07/2023,1688688000,,3642272.593501833,,,3642272.593501833,,,3642272.593501833,,,,3642272.593501833,,,,3638633.959542291,,,,3638633.959542291,
,08/07/2023,1688774400,,3639133.6633572583,,,3639133.6633572583,,,3639133.6633572583,,,,3639133.6633572583,,,,3639133.6633572583,,,,3639133.6633572583,
,09/07/2023,1688860800,,3639992.8960906765,,,3639992.8960906765,,,3639992.8960906765,,,,3639992.8960906765,,,,3640630.0063417866,,,,3640630.0063417866,
,10/07/2023,1688947200,,3638707.7536984384,,,3638707.7536984384,,,3638707.7536984384,,,,3638707.7536984384,,,,3640630.0063417866,,,,3640630.0063417866,
,11/07/2023,1689033600,,3638744.1599985017,,,3638744.1599985017,,,3638744.1599985017,,,,3638744.1599985017,,,,3640630.0063417866,,,,3640630.0063417866,
,12/07/2023,1689120000,,3644770.1003627293,,,3644770.1003627293,,,3644770.1003627293,,,,3644770.1003627293,,,,3641128.9713913384,,,,3641128.9713913384,
,13/07/2023,1689206400,,3640979.812380138,,,3640979.812380138,,,3640979.812380138,,,,3640979.812380138,,,,3641628.0221680836,,,,3641628.0221680836,
,14/07/2023,1689292800,,3642124.097876121,,,3642124.097876121,,,3642124.097876121,,,,3642124.097876121,,,,3642124.097876121,,,,3642124.097876121,
,15/07/2023,1689379200,,3642638.2356429836,,,3642638.2356429836,,,3642638.2356429836,,,,3642638.2356429836,,,,3643272.1649996936,,,,3643272.1649996936,
,16/07/2023,1689465600,,3642405.0662244237,,,3642405.0662244237,,,3642405.0662244237,,,,3642405.0662244237,,,,3643272.1649996936,,,,3643272.1649996936,
,17/07/2023,1689552000,,3643272.1649996936,,,3643272.1649996936,,,3643272.1649996936,,,,3643272.1649996936,,,,3643272.1649996936,,,,3643272.1649996936,
,18/07/2023,1689638400,,4423191.970322652,,,4423191.970322652,,,4423191.970322652,,,,4423191.970322652,,,,4418773.197125527,,,,4418773.197125527,
,19/07/2023,1689724800,,4617782.3247663705,,,4617782.3247663705,,,4617782.3247663705,,,,4617782.3247663705,,,,4619403.735477523,,,,4619403.735477523,
,20/07/2023,1689811200,,4624653.090550547,,,4624653.090550547,,,4624653.090550547,,,,4624653.090550547,,,,4620033.057493054,,,,4620033.057493054,
,21/07/2023,1689897600,,4621293.056460393,,,4621293.056460393,,,4621293.056460393,,,,4621293.056460393,,,,4621293.056460393,,,,4621293.056460393,
,22/07/2023,1689984000,,4621925.392511949,,,4621925.392511949,,,4621925.392511949,,,,4621925.392511949,,,,4621925.392511949,,,,4621925.392511949,
,23/07/2023,1690070400,,4620672.850730578,,,4620672.850730578,,,4620672.850730578,,,,4620672.850730578,,,,4621925.392511949,,,,4621925.392511949,
,24/07/2023,1690156800,,4626547.31790446,,,4626547.31790446,,,4626547.31790446,,,,4626547.31790446,,,,4621925.392511949,,,,4621925.392511949,
,25/07/2023,1690243200,,4622976.522249862,,,4622976.522249862,,,4622976.522249862,,,,4622976.522249862,,,,4623822.681800631,,,,4623822.681800631,
,26/07/2023,1690329600,,4623495.28565881,,,4623495.28565881,,,4623495.28565881,,,,4623495.28565881,,,,4624452.547336109,,,,4624452.547336109,
,27/07/2023,1690416000,,4519495.934857735,,,4519495.934857735,,,4519495.934857735,,,,4519495.934857735,,,,4519495.934857735,,,,4519495.934857735,
,28/07/2023,1690502400,,4520686.641324768,,,4520686.641324768,,,4520686.641324768,,,,4520686.641324768,,,,4520772.536002952,,,,4520772.536002952,
,29/07/2023,1690588800,,4627937.275868704,,,4627937.275868704,,,4627937.275868704,,,,4627937.275868704,,,,4627937.275868704,,,,4627937.275868704,
,30/07/2023,1690675200,,4623392.6414638,,,4623392.6414638,,,4623392.6414638,,,,4623392.6414638,,,,4627937.275868704,,,,4627937.275868704,
,31/07/2023,1690761600,,4627937.275868704,,,4627937.275868704,,,4627937.275868704,,,,4627937.275868704,,,,4627937.275868704,,,,4627937.275868704,
,01/08/2023,1690848000,,4629162.740532955,,,4629162.740532955,,,4629162.740532955,,,,4629162.740532955,,,,4629162.740532955,,,,4629162.740532955,
,02/08/2023,1690934400,,5209826.63735432,,,5209826.63735432,,,5209826.63735432,,,,5209826.63735432,,,,5209826.63735432,,,,5209826.63735432,
,03/08/2023,1691020800,,5209332.164901384,,,5209332.164901384,,,5209332.164901384,,,,5209332.164901384,,,,5210504.528420279,,,,5210504.528420279,
,04/08/2023,1691107200,,5216655.986435878,,,5216655.986435878,,,5216655.986435878,,,,5216655.986435878,,,,5211444.541893985,,,,5211444.541893985,
,05/08/2023,1691193600,,5211780.414111656,,,5211780.414111656,,,5211780.414111656,,,,5211780.414111656,,,,5214272.836527516,,,,5214272.836527516,
,06/08/2023,1691280000,,5219487.109364043,,,5219487.109364043,,,5219487.109364043,,,,5219487.109364043,,,,5214272.836527516,,,,5214272.836527516,
,07/08/2023,1691366400,,5213037.053865259,,,5213037.053865259,,,5213037.053865259,,,,5213037.053865259,,,,5214272.836527516,,,,5214272.836527516,
,08/08/2023,1691452800,,4710818.825546387,,,4710818.825546387,,,4710818.825546387,,,,4710818.825546387,,,,4715822.313020501,,,,4715822.313020501,
,09/08/2023,1691539200,,4716493.088301027,,,4716493.088301027,,,4716493.088301027,,,,4716493.088301027,,,,4716493.088301027,,,,4716493.088301027,
,10/08/2023,1691625600,,4817176.872545497,,,4817176.872545497,,,4817176.872545497,,,,4817176.872545497,,,,4817176.872545497,,,,4817176.872545497,
,11/08/2023,1691712000,,4822680.010418903,,,4822680.010418903,,,4822680.010418903,,,,4822680.010418903,,,,4817862.148270633,,,,4817862.148270633,
,12/08/2023,1691798400,,4818621.368000774,,,4818621.368000774,,,4818621.368000774,,,,4818621.368000774,,,,4819763.651986294,,,,4819763.651986294,
,13/08/2023,1691884800,,4829403.179290267,,,4829403.179290267,,,4829403.179290267,,,,4829403.179290267,,,,4819763.651986294,,,,4819763.651986294,
,14/08/2023,1691971200,,4817561.019997337,,,4817561.019997337,,,4817561.019997337,,,,4817561.019997337,,,,4819763.651986294,,,,4819763.651986294,
,15/08/2023,1692057600,,4820884.484484354,,,4820884.484484354,,,4820884.484484354,,,,4820884.484484354,,,,4821819.917548358,,,,4821819.917548358,
,16/08/2023,1692144000,,4822497.317684421,,,4822497.317684421,,,4822497.317684421,,,,4822497.317684421,,,,4822506.962698346,,,,4822506.962698346,
,17/08/2023,1692230400,,4823194.122386407,,,4823194.122386407,,,4823194.122386407,,,,4823194.122386407,,,,4823194.122386407,,,,4823194.122386407,
,18/08/2023,1692316800,,5629632.049460792,,,5629632.049460792,,,5629632.049460792,,,,5629632.049460792,,,,5624008.041419373,,,,5624008.041419373,
,19/08/2023,1692403200,,5630701.621705177,,,5630701.621705177,,,5630701.621705177,,,,5630701.621705177,,,,5625076.545160018,,,,5625076.545160018,
,20/08/2023,1692489600,,5621971.50290709,,,5621971.50290709,,,5621971.50290709,,,,5621971.50290709,,,,5625076.545160018,,,,5625076.545160018,
,21/08/2023,1692576000,,5636326.6982503375,,,5636326.6982503375,,,5636326.6982503375,,,,5636326.6982503375,,,,5625076.545160018,,,,5625076.545160018,
,22/08/2023,1692662400,,5627479.680175961,,,5627479.680175961,,,5627479.680175961,,,,5627479.680175961,,,,5627479.680175961,,,,5627479.680175961,
,23/08/2023,1692748800,,5627643.501980481,,,5627643.501980481,,,5627643.501980481,,,,5627643.501980481,,,,5628279.497563706,,,,5628279.497563706,
,24/08/2023,1692835200,,5629058.165873112,,,5629058.165873112,,,5629058.165873112,,,,5629058.165873112,,,,5629058.165873112,,,,5629058.165873112,
